evaluation_date,expiry_date,option_type,strike_price,spot_price,actual_price,ml_price,bs_price,ml_error_pct,bs_error_pct
2025-07-03,2025-07-11,put,185.0,211.66,0.06,0.01,0.0,83.33,100.0
2025-07-03,2025-07-18,put,285.0,211.66,82.04,73.12,72.75,10.87,11.32
2025-07-03,2025-08-01,put,175.0,211.67,0.34,0.01,0.0,97.06,100.0
2025-07-03,2025-07-11,put,177.5,211.67,0.04,0.01,0.0,75.0,100.0
2025-07-03,2025-07-25,call,190.0,211.67,22.56,22.45,22.24,0.49,1.42
2025-07-03,2025-07-11,call,170.0,211.67,40.26,34.3,41.86,14.8,3.97
2025-07-03,2025-07-11,put,187.5,211.66,0.07,0.01,0.0,85.71,100.0
2025-07-03,2025-07-25,call,145.0,211.65,58.59,61.3,67.09,4.63,14.51
2025-07-03,2025-07-18,call,135.0,211.67,73.23,63.69,76.95,13.03,5.08
2025-07-03,2025-07-25,call,260.0,211.66,0.06,0.01,0.0,83.33,100.0
2025-07-03,2025-07-25,put,210.0,211.66,4.1,0.47,0.01,88.54,99.76
2025-07-03,2025-07-11,call,240.0,211.67,0.04,0.01,0.0,75.0,100.0
2025-07-03,2025-07-18,call,310.0,211.66,0.02,0.01,0.0,50.0,100.0
2025-07-03,2025-07-25,put,180.0,211.65,0.23,0.01,0.0,95.65,100.0
2025-07-03,2025-07-11,put,212.5,211.66,3.45,3.48,0.68,0.87,80.29
2025-07-03,2025-07-25,put,220.0,211.65,10.03,9.16,7.69,8.67,23.33
2025-07-03,2025-07-11,call,150.0,211.65,58.19,56.39,61.81,3.09,6.22
2025-07-03,2025-07-25,put,230.0,211.66,18.55,21.36,17.65,15.15,4.85
2025-07-03,2025-08-01,call,175.0,211.66,37.54,32.31,37.35,13.93,0.51
2025-07-03,2025-07-18,call,125.0,211.65,87.28,64.63,86.91,25.95,0.42
2025-07-03,2025-08-01,put,145.0,211.65,0.08,0.01,0.0,87.5,100.0
2025-07-03,2025-07-18,call,170.0,211.65,42.0,32.33,42.0,23.02,0.0
2025-07-03,2025-07-18,call,270.0,211.66,0.02,0.01,0.0,50.0,100.0
2025-07-03,2025-08-01,put,160.0,211.66,0.14,0.01,0.0,92.86,100.0
2025-07-03,2025-07-18,call,115.0,211.67,97.77,65.2,96.91,33.31,0.88
2025-07-03,2025-08-01,put,240.0,211.66,31.45,34.4,27.39,9.38,12.91
2025-07-03,2025-07-18,put,212.5,211.67,4.45,4.47,0.6,0.45,86.52
2025-07-03,2025-07-18,put,235.0,211.67,23.55,26.76,22.85,13.63,2.97
2025-07-03,2025-07-18,call,260.0,211.65,0.04,0.01,0.0,75.0,100.0
2025-07-03,2025-07-11,put,225.0,211.66,14.2,15.11,13.09,6.41,7.82
2025-07-03,2025-07-18,call,217.5,211.67,1.96,0.01,0.0,99.49,100.0
2025-07-03,2025-07-25,call,210.0,211.65,6.4,3.7,2.29,42.19,64.22
2025-07-03,2025-07-18,put,270.0,211.65,61.45,63.41,57.8,3.19,5.94
2025-07-03,2025-08-01,call,170.0,211.65,43.86,32.31,42.32,26.33,3.51
2025-07-03,2025-07-25,call,200.0,211.65,13.35,12.41,12.25,7.04,8.24
2025-07-03,2025-07-25,call,120.0,211.69,81.97,64.88,92.05,20.85,12.3
2025-07-03,2025-08-01,call,145.0,211.65,57.3,61.3,67.22,6.98,17.31
2025-07-03,2025-07-18,put,220.0,211.65,9.45,9.19,7.9,2.75,16.4
2025-07-03,2025-07-25,call,315.0,211.65,0.02,0.01,0.0,50.0,100.0
2025-07-03,2025-07-18,call,360.0,211.69,0.02,0.01,0.0,50.0,100.0
2025-07-03,2025-07-18,put,370.0,211.65,116.9,88.16,157.59,24.59,34.81
2025-07-03,2025-08-01,call,265.0,211.69,0.09,0.01,0.0,88.89,100.0
2025-07-03,2025-07-18,put,275.0,211.69,74.43,69.95,62.75,6.02,15.69
2025-07-03,2025-07-18,put,192.5,211.69,0.35,0.01,0.0,97.14,100.0
2025-07-03,2025-07-11,call,225.0,211.76,0.22,0.01,0.0,95.45,100.0
2025-07-03,2025-07-11,call,205.0,211.75,7.55,6.99,6.97,7.42,7.68
2025-07-03,2025-07-11,call,210.0,211.73,4.15,3.21,1.96,22.65,52.77
2025-07-03,2025-07-18,put,290.0,211.75,83.29,80.93,77.65,2.83,6.77
2025-07-03,2025-07-18,put,222.5,211.73,12.05,12.48,10.31,3.57,14.44
2025-07-03,2025-07-18,put,390.0,211.74,136.4,116.56,177.46,14.55,30.1
